mid,title,year,genre,company,budget,revenue,runtime
862,Toy Story,1995,animation_comedy_family,Pixar Animation Studios,30000000,373554033,81
8844,Jumanji,1995,adventure_fantasy_family,TriStar Pictures_Teitler Film_Interscope Communications,65000000,262797249,104
15602,Grumpier Old Men,1995,romance_comedy,Warner Bros._Lancaster Gate,0,0,101
31357,Waiting to Exhale,1995,comedy_drama_romance,Twentieth Century Fox Film Corporation,16000000,81452156,127
11862,Father of the Bride Part II,1995,comedy,Sandollar Productions_Touchstone Pictures,0,76578911,106
949,Heat,1995,action_crime_drama_thriller,Regency Enterprises_Forward Pass_Warner Bros.,60000000,187436818,170
11860,Sabrina,1995,comedy_romance,Paramount Pictures_Scott Rudin Productions_Mirage Enterprises_Sandollar Productions_Constellation Entertainment_Worldwide_Mont Blanc Entertainment GmbH,58000000,0,127
45325,Tom and Huck,1995,action_adventure_drama_family,Walt Disney Pictures,0,0,97
9091,Sudden Death,1995,action_adventure_thriller,Universal Pictures_Imperial Entertainment_Signature Entertainment,35000000,64350171,106
710,GoldenEye,1995,adventure_action_thriller,United Artists_Eon Productions,58000000,352194034,130
9087,The American President,1995,comedy_drama_romance,Columbia Pictures_Castle Rock Entertainment,62000000,107879496,106
12110,Dracula: Dead and Loving It,1995,comedy_horror,Columbia Pictures_Castle Rock Entertainment_Enigma Pictures,0,0,88
21032,Balto,1995,family_animation_adventure,Universal Pictures_Amblin Entertainment_Amblimation,0,11348324,78
10858,Nixon,1995,history_drama,Hollywood Pictures_Cinergi Pictures Entertainment,44000000,13681765,192
1408,Cutthroat Island,1995,action_adventure,Le Studio Canal+_Laurence Mark Productions_Metro-Goldwyn-Mayer (MGM)_Carolco Pictures,98000000,10017322,119
524,Casino,1995,drama_crime,Universal Pictures_L̩gende Entreprises_Syalis DA_De Fina-Cappa,52000000,116112375,178
4584,Sense and Sensibility,1995,drama_romance,Columbia Pictures Corporation_Mirage Enterprises,16500000,135000000,136
5,Four Rooms,1995,crime_comedy,Miramax Films_A Band Apart,4000000,4300000,98
9273,Ace Ventura: When Nature Calls,1995,crime_comedy_adventure,O Entertainment_Warner Bros._Morgan Creek Productions,30000000,212385533,90
11517,Money Train,1995,action_comedy_crime,Columbia Pictures,60000000,35431113,103
8012,Get Shorty,1995,comedy_thriller_crime,Jersey Films_Metro-Goldwyn-Mayer (MGM),30250000,115101622,105
1710,Copycat,1995,drama_thriller,Regency Enterprises_New Regency Pictures,0,0,124
9691,Assassins,1995,action_adventure_crime_thriller,Silver Pictures_Canal+_Warner Bros._Dino De Laurentiis Company_Donner/Shuler-Donner Productions_Evansgideon/Lazar,50000000,30303072,132
12665,Powder,1995,drama_fantasy_science fiction_thriller,Caravan Pictures_Hollywood Pictures,0,0,111
451,Leaving Las Vegas,1995,drama_romance,United Artists_Intial Productions,3600000,49800000,112
16420,Othello,1995,drama,Columbia Pictures_Castle Rock Entertainment,0,0,123
9263,Now and Then,1995,comedy_drama_family,New Line Cinema,12000000,27400000,100
17015,Persuasion,1995,drama_romance,BBC Films,0,0,104
9909,Dangerous Minds,1995,drama_crime,Hollywood Pictures_Via Rosa Productions_Don Simpson/Jerry Bruckheimer Films,0,180000000,99
63,Twelve Monkeys,1995,science fiction_thriller_mystery,Universal Pictures_Atlas Entertainment_Classico,29500000,168840000,129
9598,Babe,1995,fantasy_drama_comedy_family,Universal Pictures_Kennedy Miller Productions,30000000,254134910,89
47018,Carrington,1995,history_drama_romance,StudioCanal_Cin̩a_Euston Films_Freeway Films_European Co-production Fund_Polygram Filmed Entertainment_Orsans Productions,0,0,121
687,Dead Man Walking,1995,drama,Havoc_PolyGram Filmed Entertainment_Working Title Films,11000000,39363635,122
139405,Across the Sea of Time,1995,adventure_history_drama_family,Sony New Technologies,0,0,51
33689,It Takes Two,1995,comedy_family_romance,Dualstar Productions_Warner Bros._Rysher Entertainment_Orr & Cruickshank,0,0,101
9603,Clueless,1995,comedy_drama_romance,Paramount Pictures,12000000,0,97
34615,"Cry, the Beloved Country",1995,drama,Miramax_Distant Horizon_Alpine Pty Limited,0,676525,106
31174,Richard III,1995,drama_war,British Screen_Mayfair Entertainment International,0,0,104
11443,Dead Presidents,1995,action_crime_drama_history,Caravan Pictures_Underworld Entertainment_Hollywood Pictures,10000000,0,119
35196,Restoration,1995,drama_romance,Miramax Films,19000000,0,117
9312,Mortal Kombat,1995,action_fantasy,New Line Cinema_Threshold Entertainment,18000000,122195920,101
577,To Die For,1995,fantasy_drama_comedy_thriller,The Rank Organisation_Columbia Pictures Corporation,20000000,21284514,106
11861,How To Make An American Quilt,1995,drama_romance,Universal Pictures_Amblin Entertainment,10000000,23574130,116
807,Se7en,1995,crime_mystery_thriller,New Line Cinema_Juno Pix_Cecchi Gori Pictures,33000000,327311859,127
10530,Pocahontas,1995,adventure_animation_drama_family,Walt Disney Pictures_Walt Disney Feature Animation,55000000,346079773,81
8391,When Night Is Falling,1995,drama_romance,Alliance Communications Corporation,0,0,96
629,The Usual Suspects,1995,drama_crime_thriller,Blue Parrot Productions_Bad Hat Harry Productions,6000000,23341568,106
117164,Guardian Angel,1994,action_thriller_drama,,0,0,93
11448,Mighty Aphrodite,1995,comedy_romance,Miramax Films_Magnolia Pictures,15000000,6700000,95
26441,The Big Green,1995,action_adventure_comedy_family,Walt Disney Pictures_Caravan Pictures,0,0,100
97406,Georgia,1995,drama,Miramax Films_CiBy 2000,0,0,115
124057,Kids of the Round Table,1997,,Telefilm Canada_Melenny Productions,0,0,89
9089,Home for the Holidays,1995,comedy_drama_romance,Paramount Pictures_Egg Pictures_PolyGram Filmed Entertainment,0,17519169,103
11359,The Indian in the Cupboard,1995,adventure_family_fantasy,Paramount Pictures_Columbia Pictures Corporation_The Kennedy/Marshall Company,45000000,0,96
17182,Eye for an Eye,1996,drama_thriller,Paramount Pictures,20000000,0,101
2054,Mr. Holland's Opus,1995,music_drama_family,Hollywood Pictures_The Charlie Mopic Company_PolyGram Filmed Entertainment_Interscope Communications,0,106269971,137
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,comedy,Miramax Films_Island Pictures_Ivory Way Productions,0,0,89
19760,Two If by Sea,1996,comedy_romance,Warner Bros._Morgan Creek Productions,0,0,96
9536,Bio-Dome,1996,comedy,Metro-Goldwyn-Mayer (MGM)_Motion Picture Corporation of America (MPCA)_3 Arts Entertainment_Weasel Productions,15000000,0,88
11525,Lawnmower Man 2: Beyond Cyberspace,1996,action_science fiction,New Line Cinema,0,2409225,92
40628,Two Bits,1995,drama_family,Miramax Films,0,0,85
10634,Friday,1995,comedy,New Line Cinema,3500000,28215918,91
755,From Dusk Till Dawn,1996,horror_action_thriller_crime,A Band Apart_Dimension Films_Los Hooligans Productions_Miramax,19000000,25836616,108
11859,Fair Game,1995,action_thriller_romance,Silver Pictures_Warner Bros.,50000000,11534477,91
28387,Kicking and Screaming,1995,comedy_drama_romance,Castleberg Productions_Sandollar Productions,0,718490,96
20927,Bed of Roses,1996,drama_romance,New Line Cinema_Juno Pix,0,19030691,87
36929,Big Bully,1996,comedy_family,Warner Bros._Morgan Creek Productions,15000000,2042530,90
9102,Screamers,1995,horror_science fiction,The Movie Network (TMN)_Allegro Films_Fuji Eight Company Ltd._Fries Film Group_Super Ecran_Triumph Films,20000000,5781885,108
124626,Nico Icon,1995,documentary,Zweites Deutsches Fernsehen (ZDF)_Ciak Filmproduktion_Bluehorse Films,0,0,70
27526,The Crossing Guard,1995,drama_thriller,Miramax Films,0,0,111
9623,The Juror,1996,drama_thriller,Columbia Pictures Corporation,44000000,0,118
400,Things to Do in Denver When You're Dead,1995,drama_crime,Miramax Films,8000000,529766,116
146599,Once Upon a Time... When We Were Colored,1996,romance_drama,BET Pictures_United Image Entertainme,0,0,115
188588,Last Summer in the Hamptons,1995,,,0,0,108
8447,Angels and Insects,1995,drama_romance,Playhouse International Pictures_The Samuel Goldwyn Company,0,0,118
10534,White Squall,1996,action_drama,Hollywood Pictures_Largo Entertainment_Scott Free Productions,38000000,10300000,129
17414,Dunston Checks In,1996,adventure_comedy_family,Twentieth Century Fox Film Corporation_Joe Wizan/Todd Black,16000000,0,88
13997,Black Sheep,1996,comedy,Paramount Pictures,0,32,87
2086,Nick of Time,1995,crime_drama_thriller,Paramount Pictures,8169363,8175346,90
61548,The Journey of August King,1995,drama,Miramax Films_Addis Wechsler Pictures,0,0,91
9095,Mary Reilly,1996,drama_horror_thriller_romance,TriStar Pictures_NFH Productions,47000000,12379402,104
12158,Vampire in Brooklyn,1995,comedy_horror_romance,Paramount Pictures,14000000,19800000,100
9283,Beautiful Girls,1996,comedy_drama_romance,Miramax Films_Woods Entertainment,0,0,112
9208,Broken Arrow,1996,action_adventure_drama_thriller,Twentieth Century Fox Film Corporation_WCG Entertainment Productions_Mark Gordon Productions,50000000,150270147,108
40154,A Midwinter's Tale,1995,comedy,Castle Rock Entertainment_Midwinter Films,0,0,99
45549,Shopping,1994,action_adventure_drama_science fiction_thriller,Channel Four Films,0,0,105
63076,Heidi Fleiss: Hollywood Madam,1995,documentary,British Broadcasting Corporation (BBC)_Westdeutscher Rundfunk (WDR)_Canadian Broadcasting Corporation (CBC)_Cinemax Reel Life_InPictures_Lafayette Films,0,0,106
11062,City Hall,1996,drama_thriller,Columbia Pictures_Castle Rock Entertainment,0,0,111
13685,Bottle Rocket,1996,comedy_crime_drama,Gracie Films_Columbia Pictures Corporation,7000000,560069,91
47475,Mr. Wrong,1996,comedy_romance,Touchstone Pictures,0,0,96
2045,Unforgettable,1996,drama_mystery_science fiction_thriller,Metro-Goldwyn-Mayer (MGM)_Dino De Laurentiis Company_Spelling Films,18000000,0,106
9614,Happy Gilmore,1996,comedy,Universal Pictures_Brillstein-Grey Entertainment_Robert Simonds Productions,12000000,41205099,92
688,The Bridges of Madison County,1995,drama_romance,Amblin Entertainment_Malpaso Productions_Warner Bros.,24000000,182016617,135
10874,Muppet Treasure Island,1996,action_comedy_music_family_adventure,"Walt Disney Pictures_Jim Henson Productions_Jim Henson Company, The",0,34327391,100
89333,Catwalk,1995,documentary,,0,0,95
96357,Headless Body in Topless Bar,1995,crime,,0,0,110
197,Braveheart,1995,action_drama_history_war,Icon Entertainment International_The Ladd Company_B.H. Finance C.V.,72000000,210000000,177
103,Taxi Driver,1976,crime_drama,Columbia Pictures Corporation_Italo/Judeo Productions_Bill/Phillips,1300000,28262574,114
43566,Before and After,1996,drama_thriller,Caravan Pictures_Hollywood Pictures,35000000,0,108
71754,Margaret's Museum,1995,drama,T̩l̩film Canada_Skyline Films_Malofilm_Soci̩t̩ de D̩veloppement des Entreprises Culturelles (SODEC)_British Screen Productions_National Film Board of Canada (NFB)_imX Communications_Glace Bay Pictures_Cin̩ T̩l̩ Action_Nova Scotia Film Development Corporation_Ranfilm,0,0,114
43612,Happiness Is in the Field,1995,comedy,France 2 Cin̩ma_France 3 Cin̩ma_StudioCanal_Les Productions du Champ Poirier_T̩l̩ma Productions,13365000,0,106
51352,Anne Frank Remembered,1995,documentary_drama_foreign,,0,1,117
16934,The Young Poisoner's Handbook,1995,comedy_crime_drama,Bavaria Film and Television Fund,0,0,99
10324,If Lucy Fell,1996,comedy_romance,TriStar Pictures_Motion Picture Corporation of America (MPCA),0,0,92
78406,Steal Big Steal Little,1995,comedy_drama,Savoy Pictures,25000000,6278139,113
55731,Race the Sun,1996,action_adventure_comedy_drama_family,TriStar Pictures,0,0,100
32119,The Boys of St. Vincent,1992,drama,,0,0,90
11066,Boomerang,1992,comedy_romance,Paramount Pictures,40000000,70100000,117
2074,Flirting with Disaster,1996,comedy_romance,Miramax Films,7000000,14702438,92
27793,The Neverending Story III: Escape from Fantasia,1994,fantasy,Studio Babelsberg_Dieter Geissler Filmproduktion_Cinevox Filmproduktion GmbH_Warner Bros._Miramax,17000000,0,95
290157,Jupiter's Wife,1995,,,0,0,87
110972,Pie in the Sky,1996,comedy_romance,,0,0,95
32622,Angela,1995,comedy_drama,,0,0,99
11863,Jade,1995,action_thriller_mystery_romance,Paramount Pictures,50000000,9851610,95
124636,Sonic Outlaws,1995,music_documentary,,0,0,87
9101,Down Periscope,1996,comedy,Twentieth Century Fox Film Corporation,0,0,92
